@relation main_cgpa_1102_with_id

@attribute row_id numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute recent_sgpa_band {C0,C1,C2,C3}
@attribute cgpa_band {C0,C1,C2,C3}

@data
0,4,3,4,2,2,2,1,2,2,2,3,3,C2,C2
1,4,3,3,1,3,2,2,3,2,2,2,3,C1,C1
2,4,3,4,3,3,1,1,2,1,3,3,3,C3,C2
3,4,2,3,2,2,1,1,3,2,1,3,2,C2,C1
4,4,3,3,2,2,1,1,3,2,3,3,2,C2,C2
5,4,3,4,2,2,2,1,3,2,2,3,3,C2,C2
6,4,3,3,2,3,2,1,3,2,2,3,2,C1,C2
7,4,3,4,2,3,1,1,0,2,3,3,3,C2,C1
8,4,3,4,2,3,2,1,0,2,3,3,2,C2,C2
9,4,4,1,0,3,2,3,1,3,3,3,2,C2,C2
10,3,3,2,2,2,1,2,2,2,4,4,3,C3,C2
11,4,3,1,1,1,2,3,0,4,3,2,1,C1,C1
12,2,4,0,0,2,1,2,1,3,2,3,2,C2,C1
13,4,3,2,1,3,2,3,2,2,3,2,1,C3,C3
14,3,4,1,0,2,3,2,1,3,4,3,3,C3,C3
15,4,3,3,2,1,1,4,3,3,1,4,1,C1,C2
16,1,2,2,0,2,2,2,2,2,3,2,2,C0,C1
17,4,4,1,2,3,1,3,4,4,3,3,1,C2,C2
18,4,4,3,0,3,2,2,0,3,4,4,2,C3,C3
19,3,3,2,1,1,1,3,1,4,2,3,1,C2,C2
20,2,4,1,2,2,3,1,2,2,3,2,3,C1,C0
21,4,3,0,1,3,1,3,3,1,1,1,1,C3,C3
22,3,4,2,3,2,2,2,1,3,4,3,3,C2,C1
23,4,3,1,0,1,0,4,2,4,3,4,1,C0,C0
24,4,4,2,2,3,3,1,0,2,2,2,3,C3,C2
25,2,2,3,3,2,2,3,4,3,1,3,2,C1,C1
26,3,3,1,2,3,3,1,4,4,2,1,1,C2,C1
27,2,4,2,0,1,4,0,4,2,2,3,2,C2,C3
28,2,2,1,0,3,3,2,1,3,2,4,1,C1,C0
29,2,4,2,0,1,3,4,0,3,4,2,1,C3,C2
30,0,3,1,1,2,0,2,3,1,3,2,3,C0,C1
31,2,4,2,4,4,2,4,1,4,4,3,3,C3,C3
32,4,4,1,1,0,1,3,0,3,1,3,1,C3,C3
33,2,2,2,2,2,2,3,2,4,2,3,1,C1,C1
34,3,4,1,0,1,3,2,3,3,4,3,1,C0,C0
35,3,3,1,2,4,1,3,2,2,3,1,1,C3,C3
36,4,3,2,2,2,2,4,4,3,3,1,2,C2,C1
37,4,3,4,2,2,3,2,3,3,2,4,1,C2,C1
38,4,4,3,0,2,0,2,3,2,3,3,2,C2,C1
39,3,3,1,1,0,3,2,2,4,3,4,2,C3,C2
40,3,4,3,2,4,1,1,2,0,2,3,3,C0,C1
41,4,4,2,0,4,0,2,4,2,2,1,2,C0,C1
42,3,4,3,2,2,3,4,3,3,3,4,2,C3,C3
43,4,3,1,3,2,1,2,3,1,1,3,1,C0,C0
44,4,4,0,1,2,2,3,0,3,1,2,2,C3,C3
45,4,4,1,3,2,2,1,2,3,3,2,2,C2,C2
46,3,4,2,1,2,3,3,0,4,1,2,3,C3,C3
47,4,2,3,0,2,2,3,0,3,2,2,2,C3,C3
48,3,2,2,3,2,2,3,1,3,3,3,1,C3,C3
49,2,3,3,1,1,1,2,1,3,2,2,2,C2,C1
50,1,3,0,0,4,1,1,1,3,3,1,3,C0,C0
51,4,4,1,3,4,3,1,2,3,3,3,2,C0,C0
52,4,2,3,2,2,3,3,1,4,2,2,1,C1,C1
53,4,3,0,3,2,0,1,4,1,3,3,2,C2,C2
54,1,4,2,3,2,1,3,1,3,3,0,2,C2,C2
55,4,4,2,1,2,2,0,2,4,3,2,2,C0,C1
56,4,4,4,0,2,2,2,4,4,3,2,1,C1,C2
57,2,3,2,2,2,3,4,1,3,3,3,1,C3,C3
58,3,3,1,2,4,3,1,1,1,2,4,3,C2,C2
59,4,3,2,1,0,2,3,4,0,1,2,2,C2,C2
60,4,3,0,2,1,2,3,2,1,0,4,2,C2,C2
61,3,3,1,1,3,3,3,1,3,2,2,1,C3,C3
62,1,3,2,2,2,3,3,1,1,4,2,3,C3,C3
63,3,4,1,1,1,1,4,0,3,0,3,2,C3,C3
64,2,3,1,1,1,2,3,1,3,1,3,3,C2,C2
65,4,3,2,4,2,1,3,1,2,1,2,0,C2,C3
66,3,2,0,0,1,0,2,1,3,3,4,2,C2,C3
67,0,3,1,2,2,4,3,2,0,4,3,2,C2,C2
68,4,3,3,2,2,2,3,3,4,1,3,1,C2,C1
69,1,4,2,0,3,3,3,0,2,4,4,0,C0,C0
70,4,3,2,3,3,2,2,4,4,1,3,1,C0,C0
71,4,3,1,1,2,3,3,1,3,0,3,1,C3,C3
72,4,3,2,3,0,0,3,2,2,2,4,2,C1,C2
73,4,3,0,3,2,3,4,0,2,4,1,1,C1,C1
74,2,3,0,3,0,2,1,2,3,2,1,1,C1,C1
75,3,4,0,4,1,1,1,0,4,3,1,2,C2,C2
76,2,4,1,1,3,2,2,2,3,3,0,2,C1,C1
77,4,3,2,1,3,2,4,1,3,3,3,2,C0,C1
78,3,4,3,1,1,1,2,3,0,1,3,1,C3,C3
79,3,4,3,2,2,0,4,1,2,4,1,4,C1,C1
80,3,4,2,3,1,2,1,2,3,1,2,2,C1,C2
81,4,3,0,4,4,2,2,0,4,4,2,1,C3,C3
82,4,3,1,2,1,2,3,0,3,1,2,3,C0,C1
83,3,3,2,1,3,3,2,2,3,4,2,2,C0,C0
84,4,4,1,1,2,3,4,2,3,3,2,3,C3,C3
85,2,4,0,2,1,1,4,0,4,3,0,3,C2,C2
86,1,4,1,1,1,3,3,1,1,1,3,4,C1,C0
