university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
CUET,EEE,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,6-10 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Mostly,0.625,0.667,0.625,0.833,C2_3_50_to_3_74
CUET,EEE,0.875,4,75-89%,11-15 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,11-15 hrs,Sometimes,Neither good nor bad,Some support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Mostly,0.5,0.583,0.5,0.75,C1_3_20_to_3_49
CUET,EEE,0.875,4,75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,6-10 hrs,Rarely,Mostly suitable,Good support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.75,0.583,0.75,0.667,C3_3_75_plus
CUET,EEE,0.875,4,60-74%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Somewhat distracting,Good support,Average,Satisfied,"Yes, exactly what I wanted",Somewhat,0.438,0.5,0.5,0.75,C2_3_50_to_3_74
CUET,EEE,0.875,4,75-89%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,Satisfied,"Yes, exactly what I wanted",Somewhat,0.562,0.5,0.75,0.75,C2_3_50_to_3_74
CUET,Other,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Satisfied,"Yes, exactly what I wanted",Somewhat,0.625,0.667,0.625,0.75,C2_3_50_to_3_74
CUET,EEE,0.875,4,75-89%,11-15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Average,Neutral,"Yes, exactly what I wanted",Mostly,0.562,0.583,0.625,0.75,C1_3_20_to_3_49
CUET,CSE,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,none,Sometimes,Mostly suitable,Good support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.625,0.583,0.75,0.667,C2_3_50_to_3_74
CUET,CSE,0.875,4,75-89%,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,none,Sometimes,Mostly suitable,Good support,Average,Neutral,"Yes, exactly what I wanted",Somewhat,0.625,0.583,0.75,0.667,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Average,Very dissatisfied,"Yes, exactly what I wanted",Mostly,0.375,0.417,0.75,0.583,C2_3_50_to_3_74
