question,code,answer
desired_department_match,0,Not at all what I wanted
desired_department_match,1,Mostly different
desired_department_match,2,Somewhat different
desired_department_match,3,Close to what I wanted
desired_department_match,4,"Yes, exactly what I wanted"
attendance,0,Less than 40%
attendance,1,40-59%
attendance,2,60-74%
attendance,3,75-89%
attendance,4,90% or more
weekly_study_time,0,Less than 3 hrs
weekly_study_time,1,3-6 hrs
weekly_study_time,2,7-10 hrs
weekly_study_time,3,11-15 hrs
weekly_study_time,4,More than 15 hrs
study_style,0,Occasionally when necessary
study_style,1,Mostly just before exams
study_style,2,Regularly but not every day
study_style,3,Mostly consistent routine
study_style,4,Consistent throughout the semester
topic_clarity,0,Almost nothing
topic_clarity,1,A little
topic_clarity,2,About half
topic_clarity,3,Most of it
topic_clarity,4,Almost everything
sleep_duration,0,Less than 5 hrs
sleep_duration,1,5-6 hrs
sleep_duration,2,6-7 hrs
sleep_duration,3,7-8 hrs
sleep_duration,4,More than 8 hrs
stress_frequency,0,Never
stress_frequency,1,Rarely
stress_frequency,2,Sometimes
stress_frequency,3,Often
stress_frequency,4,Almost always
weekly_responsibilities,0,None
weekly_responsibilities,1,1-5 hrs
weekly_responsibilities,2,6-10 hrs
weekly_responsibilities,3,11-15 hrs
weekly_responsibilities,4,More than 15 hrs
distraction_frequency,0,Never
distraction_frequency,1,Rarely
distraction_frequency,2,Sometimes
distraction_frequency,3,Often
distraction_frequency,4,Almost every day
study_environment,0,Very distracting
study_environment,1,Somewhat distracting
study_environment,2,Neither good nor bad
study_environment,3,Mostly suitable
study_environment,4,Excellent for focused study
support_level,0,No support
support_level,1,Very little support
support_level,2,Some support
support_level,3,Good support
support_level,4,Strong support
routine_manageability,0,Completely unmanageable
routine_manageability,1,Difficult to manage
routine_manageability,2,Average
routine_manageability,3,Mostly manageable
routine_manageability,4,Very healthy and balanced
