@relation student_cgpa_final_920

@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute recent_sgpa_band {C0,C1,C2,C3}
@attribute cgpa_band {C0,C1,C2,C3}

@data
4,3,4,2,2,2,1,2,2,2,3,3,C2,C2
4,3,3,1,3,2,2,3,2,2,2,3,C1,C1
4,3,4,3,3,1,1,2,1,3,3,3,C3,C2
4,2,3,2,2,1,1,3,2,1,3,2,C2,C1
4,3,3,2,2,1,1,3,2,3,3,2,C2,C2
4,3,4,2,2,2,1,3,2,2,3,3,C2,C2
4,3,3,2,3,2,1,3,2,2,3,2,C1,C2
4,3,4,2,3,1,1,0,2,3,3,3,C2,C1
4,3,4,2,3,2,1,0,2,3,3,2,C2,C2
4,4,1,0,3,2,3,1,3,3,3,2,C2,C2
3,3,2,2,2,1,2,2,2,4,4,3,C3,C2
4,3,1,1,1,2,3,0,4,3,2,1,C1,C1
2,4,0,0,2,1,2,1,3,2,3,2,C2,C1
4,3,2,1,3,2,3,2,2,3,2,1,C3,C3
3,4,1,0,2,3,2,1,3,4,3,3,C3,C3
4,3,3,2,1,1,4,3,3,1,4,1,C1,C2
1,2,2,0,2,2,2,2,2,3,2,2,C0,C1
4,4,1,2,3,1,3,4,4,3,3,1,C2,C2
4,4,3,0,3,2,2,0,3,4,4,2,C3,C3
3,3,2,1,1,1,3,1,4,2,3,1,C2,C2
2,4,1,2,2,3,1,2,2,3,2,3,C1,C0
4,3,0,1,3,1,3,3,1,1,1,1,C3,C3
3,4,2,3,2,2,2,1,3,4,3,3,C2,C1
4,3,1,0,1,0,4,2,4,3,4,1,C0,C0
4,4,2,2,3,3,1,0,2,2,2,3,C3,C2
2,2,3,3,2,2,3,4,3,1,3,2,C1,C1
3,3,1,2,3,3,1,4,4,2,1,1,C2,C1
2,4,2,0,1,4,0,4,2,2,3,2,C2,C3
2,2,1,0,3,3,2,1,3,2,4,1,C1,C0
2,4,2,0,1,3,4,0,3,4,2,1,C3,C2
0,3,1,1,2,0,2,3,1,3,2,3,C0,C1
2,4,2,4,4,2,4,1,4,4,3,3,C3,C3
4,4,1,1,0,1,3,0,3,1,3,1,C3,C3
2,2,2,2,2,2,3,2,4,2,3,1,C1,C1
3,4,1,0,1,3,2,3,3,4,3,1,C0,C0
3,3,1,2,4,1,3,2,2,3,1,1,C3,C3
4,3,2,2,2,2,4,4,3,3,1,2,C2,C1
4,3,4,2,2,3,2,3,3,2,4,1,C2,C1
4,4,3,0,2,0,2,3,2,3,3,2,C2,C1
3,3,1,1,0,3,2,2,4,3,4,2,C3,C2
3,4,3,2,4,1,1,2,0,2,3,3,C0,C1
4,4,2,0,4,0,2,4,2,2,1,2,C0,C1
3,4,3,2,2,3,4,3,3,3,4,2,C3,C3
4,3,1,3,2,1,2,3,1,1,3,1,C0,C0
4,4,0,1,2,2,3,0,3,1,2,2,C3,C3
4,4,1,3,2,2,1,2,3,3,2,2,C2,C2
3,4,2,1,2,3,3,0,4,1,2,3,C3,C3
4,2,3,0,2,2,3,0,3,2,2,2,C3,C3
3,2,2,3,2,2,3,1,3,3,3,1,C3,C3
2,3,3,1,1,1,2,1,3,2,2,2,C2,C1
1,3,0,0,4,1,1,1,3,3,1,3,C0,C0
4,4,1,3,4,3,1,2,3,3,3,2,C0,C0
4,2,3,2,2,3,3,1,4,2,2,1,C1,C1
4,3,0,3,2,0,1,4,1,3,3,2,C2,C2
1,4,2,3,2,1,3,1,3,3,0,2,C2,C2
4,4,2,1,2,2,0,2,4,3,2,2,C0,C1
4,4,4,0,2,2,2,4,4,3,2,1,C1,C2
2,3,2,2,2,3,4,1,3,3,3,1,C3,C3
3,3,1,2,4,3,1,1,1,2,4,3,C2,C2
4,3,2,1,0,2,3,4,0,1,2,2,C2,C2
4,3,0,2,1,2,3,2,1,0,4,2,C2,C2
3,3,1,1,3,3,3,1,3,2,2,1,C3,C3
1,3,2,2,2,3,3,1,1,4,2,3,C3,C3
3,4,1,1,1,1,4,0,3,0,3,2,C3,C3
2,3,1,1,1,2,3,1,3,1,3,3,C2,C2
4,3,2,4,2,1,3,1,2,1,2,0,C2,C3
3,2,0,0,1,0,2,1,3,3,4,2,C2,C3
0,3,1,2,2,4,3,2,0,4,3,2,C2,C2
4,3,3,2,2,2,3,3,4,1,3,1,C2,C1
1,4,2,0,3,3,3,0,2,4,4,0,C0,C0
4,3,2,3,3,2,2,4,4,1,3,1,C0,C0
4,3,1,1,2,3,3,1,3,0,3,1,C3,C3
4,3,2,3,0,0,3,2,2,2,4,2,C1,C2
4,3,0,3,2,3,4,0,2,4,1,1,C1,C1
2,3,0,3,0,2,1,2,3,2,1,1,C1,C1
3,4,0,4,1,1,1,0,4,3,1,2,C2,C2
2,4,1,1,3,2,2,2,3,3,0,2,C1,C1
4,3,2,1,3,2,4,1,3,3,3,2,C0,C1
3,4,3,1,1,1,2,3,0,1,3,1,C3,C3
3,4,3,2,2,0,4,1,2,4,1,4,C1,C1
3,4,2,3,1,2,1,2,3,1,2,2,C1,C2
4,3,0,4,4,2,2,0,4,4,2,1,C3,C3
4,3,1,2,1,2,3,0,3,1,2,3,C0,C1
3,3,2,1,3,3,2,2,3,4,2,2,C0,C0
4,4,1,1,2,3,4,2,3,3,2,3,C3,C3
2,4,0,2,1,1,4,0,4,3,0,3,C2,C2
1,4,1,1,1,3,3,1,1,1,3,4,C1,C0
2,3,2,4,3,3,4,2,3,3,2,3,C2,C2
4,4,2,4,3,0,1,0,2,4,2,1,C1,C1
3,3,2,2,3,3,2,2,3,2,1,2,C3,C3
3,3,1,0,3,3,4,2,1,2,3,1,C2,C3
4,2,0,0,2,2,3,1,2,2,1,2,C3,C3
3,4,2,1,3,2,0,1,4,3,2,2,C0,C0
3,3,2,0,3,2,2,1,3,2,2,2,C1,C1
3,2,2,0,4,3,3,1,3,2,1,2,C3,C3
4,3,2,0,3,1,1,0,3,0,3,3,C2,C2
3,4,1,2,3,0,1,1,4,3,3,0,C2,C2
3,4,3,1,3,1,3,1,3,3,3,1,C1,C1
3,2,2,1,2,2,0,2,3,3,2,1,C0,C1
4,4,2,3,3,3,2,2,2,1,0,4,C0,C1
4,3,1,2,3,1,1,1,2,4,1,3,C1,C1
4,3,2,0,1,1,2,2,1,2,1,1,C3,C3
4,3,1,0,3,2,3,1,3,1,3,4,C2,C2
4,4,0,0,4,1,4,1,3,3,3,3,C2,C2
4,3,0,1,3,1,4,0,2,4,2,2,C0,C0
0,4,4,1,1,3,0,2,1,3,3,1,C0,C3
3,4,1,4,4,3,3,3,2,4,4,3,C0,C0
3,4,0,0,2,2,2,1,4,1,2,4,C3,C3
4,2,1,2,1,4,0,2,4,1,3,1,C3,C3
1,4,4,1,3,3,4,2,1,2,0,2,C1,C3
2,4,2,0,2,2,2,1,1,3,2,3,C1,C1
2,2,4,3,0,3,4,0,4,3,1,0,C0,C2
0,2,2,0,4,2,0,3,1,0,2,0,C2,C0
2,3,1,0,0,2,2,2,1,2,0,4,C3,C1
0,2,0,4,3,0,1,0,2,4,3,4,C0,C3
1,3,3,1,2,3,3,1,4,2,0,2,C0,C0
4,3,2,0,1,3,1,0,0,1,0,2,C2,C3
2,4,2,1,3,2,3,1,3,1,2,0,C0,C3
2,4,1,2,3,3,1,0,1,3,3,1,C0,C1
3,3,4,0,1,4,2,0,0,0,3,2,C3,C3
2,3,4,2,3,3,1,3,4,2,4,1,C2,C2
3,3,4,2,4,4,4,1,1,2,2,1,C0,C3
2,3,2,2,0,3,3,3,0,3,2,3,C2,C0
3,2,1,2,2,4,3,1,3,2,2,0,C0,C1
0,4,2,3,2,3,2,4,2,3,3,3,C0,C2
0,2,3,2,2,0,4,1,2,2,2,2,C1,C1
1,2,3,1,3,4,3,2,0,0,3,3,C2,C0
4,4,1,0,1,1,2,2,2,2,3,2,C2,C2
0,3,0,1,3,0,0,0,1,0,2,3,C0,C1
4,4,1,2,1,3,0,3,2,4,2,2,C0,C1
0,4,0,1,4,2,4,3,3,3,4,2,C3,C3
4,3,2,1,4,2,1,3,4,3,3,2,C0,C3
1,4,1,0,0,1,3,2,3,2,4,2,C3,C2
4,4,0,0,4,2,1,3,2,3,1,3,C0,C0
2,4,1,2,2,0,1,1,2,0,2,2,C0,C0
1,3,0,2,1,0,3,2,4,1,3,4,C2,C1
0,3,1,3,4,0,1,2,0,0,3,3,C1,C1
4,2,1,2,2,2,4,4,1,0,4,4,C0,C1
