university,department,semester,source_form,date,gap,aug67_group,desired_department_match,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,desired_department_match_code,attendance_code,weekly_study_time_code,study_style_code,topic_clarity_code,sleep_duration_code,stress_frequency_code,weekly_responsibilities_code,distraction_frequency_code,study_environment_code,support_level_code,routine_manageability_code,recent_sgpa_band,cgpa_band
CUET,EEE,7.0,multi_uni,2026-08-22,0,False,"Yes, exactly what I wanted",75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,6-10 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,4,3,4,2,2,2,1,2,2,2,3,3,C2,C2
CUET,EEE,7.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,11-15 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,11-15 hrs,Sometimes,Neither good nor bad,Some support,Mostly manageable,4,3,3,1,3,2,2,3,2,2,2,3,C1,C1
CUET,EEE,7.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,6-10 hrs,Rarely,Mostly suitable,Good support,Mostly manageable,4,3,4,3,3,1,1,2,1,3,3,3,C3,C2
CUET,EEE,7.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",60-74%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Somewhat distracting,Good support,Average,4,2,3,2,2,1,1,3,2,1,3,2,C2,C1
CUET,EEE,7.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,4,3,3,2,2,1,1,3,2,3,3,2,C2,C2
CUET,Unknown,7.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,4,3,4,2,2,2,1,3,2,2,3,3,C2,C2
CUET,EEE,7.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",75-89%,11-15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Average,4,3,3,2,3,2,1,3,2,2,3,2,C1,C2
CUET,CSE,7.0,multi_uni,2026-08-24,1,False,"Yes, exactly what I wanted",75-89%,More than 15 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,None,Sometimes,Mostly suitable,Good support,Mostly manageable,4,3,4,2,3,1,1,0,2,3,3,3,C2,C1
CUET,CSE,7.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",75-89%,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,None,Sometimes,Mostly suitable,Good support,Average,4,3,4,2,3,2,1,0,2,3,3,2,C2,C2
BRAC,CSE,11.0,multi_uni,2026-08-24,0,False,"Yes, exactly what I wanted",90% or more,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Average,4,4,1,0,3,2,3,1,3,3,3,2,C2,C2
