admission_satisfaction,desired_department_match,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,career_expectation,academic_progress,discipline_index,wellbeing_index,environment_index,motivation_index,effective_study,focus_balance,load_pressure,university,department,cgpa_band
3,4,3,4,2,2,2,1,2,2,2,3,3,3,0.875,0.688,0.667,0.625,0.833,0.5,0.5,0.0,CUET,EEE,C2_3_50_to_3_74
2,4,3,3,1,3,2,2,3,2,2,2,3,3,0.875,0.562,0.583,0.5,0.75,0.562,0.25,0.25,CUET,EEE,C1_3_20_to_3_49
2,4,3,4,3,3,1,1,2,1,3,3,3,2,0.875,0.812,0.583,0.75,0.667,0.75,0.75,0.0,CUET,EEE,C2_3_50_to_3_74
3,4,2,3,2,2,1,1,3,2,1,3,2,2,0.875,0.562,0.5,0.5,0.75,0.375,0.25,0.25,CUET,EEE,C1_3_20_to_3_49
3,4,3,3,2,2,1,1,3,2,3,3,2,2,0.875,0.625,0.5,0.75,0.75,0.375,0.25,0.25,CUET,EEE,C2_3_50_to_3_74
3,4,3,4,2,2,2,1,3,2,2,3,3,2,0.875,0.688,0.667,0.625,0.75,0.5,0.5,0.125,CUET,Unknown,C2_3_50_to_3_74
2,4,3,3,2,3,2,1,3,2,2,3,2,3,0.875,0.625,0.583,0.625,0.75,0.562,0.25,0.25,CUET,EEE,C2_3_50_to_3_74
2,4,3,4,2,3,1,1,0,2,3,3,3,2,0.875,0.688,0.583,0.75,0.667,0.75,0.5,-0.25,CUET,CSE,C1_3_20_to_3_49
2,4,3,4,2,3,2,1,0,2,3,3,2,2,0.875,0.688,0.583,0.75,0.667,0.75,0.5,-0.125,CUET,CSE,C2_3_50_to_3_74
0,4,4,1,0,3,2,3,1,3,3,3,2,3,0.917,0.375,0.417,0.75,0.583,0.188,-0.5,0.25,BRAC,CSE,C2_3_50_to_3_74
4,3,3,2,2,2,1,2,2,2,4,4,3,3,0.917,0.562,0.5,1.0,0.833,0.25,0.0,0.125,BRAC,CSE,C2_3_50_to_3_74
0,4,3,1,1,1,2,3,0,4,3,2,1,2,0.833,0.312,0.333,0.625,0.5,0.062,-0.75,0.25,BRAC,CSE,C1_3_20_to_3_49
2,2,4,0,0,2,1,2,1,3,2,3,2,2,0.833,0.312,0.417,0.625,0.5,0.0,-0.75,0.125,BRAC,CSE,C1_3_20_to_3_49
