source_form,university,semester_raw,recent_sgpa_raw,cgpa_raw,result_satisfaction,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,desired_department_match,distraction_frequency,study_environment,support_level,admission_satisfaction,career_expectation,routine_manageability,department,department_grouped,cgpa_band,recent_sgpa_band,recent_sgpa_imputed,admission_satisfaction_code,desired_department_match_code,result_satisfaction_code,attendance_code,weekly_study_time_code,study_style_code,topic_clarity_code,sleep_duration_code,stress_frequency_code,weekly_responsibilities_code,distraction_frequency_code,study_environment_code,support_level_code,routine_manageability_code,career_expectation_code,target_code,recent_sgpa_code,cgpa_midpoint,academic_progress,academic_year,discipline_index,wellbeing_index,environment_index,motivation_index,effective_study,focus_balance,load_pressure
multi_uni,CUET,7.0,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,6-10 hrs,"Yes, exactly what I wanted",Sometimes,Neither good nor bad,Good support,Satisfied,Mostly,Mostly manageable,EEE,EEE,C2_3_50_to_3_74,C2_3_50_to_3_74,False,3,4,2,3,4,2,2,2,1,2,2,2,3,3,3,2,2,3.62,0.875,4,0.688,0.667,0.625,0.833,0.5,0.5,0.0
multi_uni,CUET,7.0,3.2+,3.2+,Neutral,75-89%,11-15 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,11-15 hrs,"Yes, exactly what I wanted",Sometimes,Neither good nor bad,Some support,Neutral,Mostly,Mostly manageable,EEE,EEE,C1_3_20_to_3_49,C1_3_20_to_3_49,False,2,4,2,3,3,1,3,2,2,3,2,2,2,3,3,1,1,3.35,0.875,4,0.562,0.583,0.5,0.75,0.562,0.25,0.25
multi_uni,CUET,7.0,3.75+,3.5+,Satisfied,75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,6-10 hrs,"Yes, exactly what I wanted",Rarely,Mostly suitable,Good support,Neutral,Somewhat,Mostly manageable,EEE,EEE,C2_3_50_to_3_74,C3_3_75_plus,False,2,4,3,3,4,3,3,1,1,2,1,3,3,3,2,2,3,3.62,0.875,4,0.812,0.583,0.75,0.667,0.75,0.75,0.0
multi_uni,CUET,7.0,3.5+,3.2+,Satisfied,60-74%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,"Yes, exactly what I wanted",Sometimes,Somewhat distracting,Good support,Satisfied,Somewhat,Average,EEE,EEE,C1_3_20_to_3_49,C2_3_50_to_3_74,False,3,4,3,2,3,2,2,1,1,3,2,1,3,2,2,1,2,3.35,0.875,4,0.562,0.5,0.5,0.75,0.375,0.25,0.25
multi_uni,CUET,7.0,3.5+,3.5+,Neutral,75-89%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,"Yes, exactly what I wanted",Sometimes,Mostly suitable,Good support,Satisfied,Somewhat,Average,EEE,EEE,C2_3_50_to_3_74,C2_3_50_to_3_74,False,3,4,2,3,3,2,2,1,1,3,2,3,3,2,2,2,2,3.62,0.875,4,0.625,0.5,0.75,0.75,0.375,0.25,0.25
multi_uni,CUET,7.0,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,11-15 hrs,"Yes, exactly what I wanted",Sometimes,Neither good nor bad,Good support,Satisfied,Somewhat,Mostly manageable,Unknown,Unknown,C2_3_50_to_3_74,C2_3_50_to_3_74,False,3,4,2,3,4,2,2,2,1,3,2,2,3,3,2,2,2,3.62,0.875,4,0.688,0.667,0.625,0.75,0.5,0.5,0.125
multi_uni,CUET,7.0,3.2+,3.5+,Dissatisfied,75-89%,11-15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,11-15 hrs,"Yes, exactly what I wanted",Sometimes,Neither good nor bad,Good support,Neutral,Mostly,Average,EEE,EEE,C2_3_50_to_3_74,C1_3_20_to_3_49,False,2,4,1,3,3,2,3,2,1,3,2,2,3,2,3,2,1,3.62,0.875,4,0.625,0.583,0.625,0.75,0.562,0.25,0.25
multi_uni,CUET,7.0,3.5+,3.2+,Satisfied,75-89%,More than 15 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,None,"Yes, exactly what I wanted",Sometimes,Mostly suitable,Good support,Neutral,Somewhat,Mostly manageable,CSE,CSE,C1_3_20_to_3_49,C2_3_50_to_3_74,False,2,4,3,3,4,2,3,1,1,0,2,3,3,3,2,1,2,3.35,0.875,4,0.688,0.583,0.75,0.667,0.75,0.5,-0.25
multi_uni,CUET,7.0,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,None,"Yes, exactly what I wanted",Sometimes,Mostly suitable,Good support,Neutral,Somewhat,Average,CSE,CSE,C2_3_50_to_3_74,C2_3_50_to_3_74,False,2,4,2,3,4,2,3,2,1,0,2,3,3,2,2,2,2,3.62,0.875,4,0.688,0.583,0.75,0.667,0.75,0.5,-0.125
multi_uni,BRAC,11.0,3.5+,3.5+,Very dissatisfied,90% or more,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,"Yes, exactly what I wanted",Often,Mostly suitable,Good support,Very dissatisfied,Mostly,Average,CSE,CSE,C2_3_50_to_3_74,C2_3_50_to_3_74,False,0,4,0,4,1,0,3,2,3,1,3,3,3,2,3,2,2,3.62,0.917,4,0.375,0.417,0.75,0.583,0.188,-0.5,0.25
