department,semester,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,desired_department_match,distraction_frequency,study_environment,support_level,kuet_satisfaction,career_expectation,routine_manageability,current_cgpa_band
CSE,S7,pct_90_plus,h_3_6,occasional,about_half,h_7_8,sometimes,none,close,often,mostly_suitable,some,neutral,somewhat,average,C3_3_75_plus
CSE,S7,pct_90_plus,h_3_6,exam_only,almost_nothing,h_6_7,rarely,none,exact,almost_every_day,neutral,good,satisfied,somewhat,difficult,C2_3_50_to_3_74
CSE,S7,pct_90_plus,lt_3h,exam_only,a_little,lt_5h,sometimes,none,close,often,neutral,none,satisfied,not_at_all,average,C2_3_50_to_3_74
CSE,S7,pct_40_59,h_11_15,exam_only,almost_nothing,h_5_6,often,gt_15h,exact,rarely,somewhat_distracting,some,dissatisfied,slightly,difficult,C1_3_20_to_3_49
CSE,S4,pct_90_plus,h_7_10,regular_not_daily,a_little,h_5_6,sometimes,h_1_5,close,almost_every_day,mostly_suitable,strong,neutral,completely,difficult,C2_3_50_to_3_74
CSE,S4,pct_75_89,h_3_6,occasional,about_half,h_7_8,often,none,exact,often,neutral,strong,neutral,mostly,mostly_manageable,C0_below_3_20
?,S4,pct_90_plus,lt_3h,occasional,about_half,lt_5h,sometimes,none,?,often,mostly_suitable,some,neutral,mostly,difficult,C2_3_50_to_3_74
CSE,S4,pct_90_plus,h_7_10,regular_not_daily,a_little,h_7_8,often,h_11_15,close,almost_every_day,mostly_suitable,good,neutral,somewhat,mostly_manageable,C3_3_75_plus
CSE,S4,pct_75_89,h_3_6,exam_only,a_little,h_6_7,sometimes,h_11_15,exact,often,somewhat_distracting,none,satisfied,slightly,unmanageable,C3_3_75_plus
CSE,S3,pct_90_plus,gt_15h,occasional,a_little,h_5_6,sometimes,h_1_5,exact,often,neutral,good,dissatisfied,somewhat,mostly_manageable,C3_3_75_plus
CSE,S4,pct_90_plus,h_3_6,regular_not_daily,about_half,h_6_7,often,none,exact,sometimes,excellent,some,very_dissatisfied,mostly,difficult,C3_3_75_plus
