run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,data,model,evaluation
C_main_ZeroR_10foldCV,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,main,ZeroR,10-fold CV
C_main_ZeroR_5foldCV,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,main,ZeroR,5-fold CV
C_main_ZeroR_8020split,220,0.2590909090909091,0.0,0.0,0.2590909090909091,0.740909090909091,1.0,0.10288808664259928,main,ZeroR,80/20 split
C_main_ZeroR_7030split,331,0.2719033232628399,0.0,0.0,0.2537764350453172,0.7462235649546828,0.9818731117824774,0.10688836104513065,main,ZeroR,70/30 split
C_main_J48_10foldCV,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,main,J48,10-fold CV
C_main_J48_5foldCV,1102,0.4355716878402904,0.24137610454923764,0.29439332194526646,0.22050816696914702,0.779491833030853,0.8484573502722323,0.43431494232611756,main,J48,5-fold CV
C_main_J48_8020split,220,0.38636363636363635,0.17905909668859543,0.2204689633020157,0.2318181818181818,0.7681818181818182,0.9045454545454545,0.3840240846530643,main,J48,80/20 split
C_main_J48_7030split,331,0.42900302114803623,0.23423710141379517,0.29424307036247344,0.22356495468277945,0.7764350453172205,0.8429003021148036,0.430913412850207,main,J48,70/30 split
C_main_RandomForest_10foldCV,1102,0.4500907441016334,0.2614316775750444,0.3201820974715883,0.20598911070780399,0.794010889292196,0.823049001814882,0.4481014744177838,main,RandomForest,10-fold CV
C_main_RandomForest_5foldCV,1102,0.4500907441016334,0.26094943825198547,0.29674668788137304,0.21052631578947367,0.7894736842105263,0.8339382940108893,0.44816307470751476,main,RandomForest,5-fold CV
C_main_RandomForest_8020split,220,0.5045454545454545,0.3365427180168217,0.34156378600823056,0.21363636363636362,0.7863636363636364,0.7727272727272727,0.5043468642007083,main,RandomForest,80/20 split
C_main_RandomForest_7030split,331,0.4773413897280967,0.3007156115670183,0.2977359669299453,0.22658610271903323,0.7734138972809668,0.824773413897281,0.47722709429315646,main,RandomForest,70/30 split
C_main_SMO_10foldCV,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,main,SMO,10-fold CV
C_main_SMO_5foldCV,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,main,SMO,5-fold CV
C_main_SMO_8020split,220,0.44545454545454544,0.2588910978573007,0.25018839487565936,0.23636363636363636,0.7636363636363637,0.9,0.445174616596704,main,SMO,80/20 split
C_main_SMO_7030split,331,0.48036253776435045,0.30607120656241227,0.3369213921312001,0.21450151057401812,0.7854984894259819,0.8187311178247734,0.4809607812563287,main,SMO,70/30 split
C_main_Logistic_10foldCV,1102,0.4573502722323049,0.27391521834460475,0.3137682185207269,0.22050816696914702,0.779491833030853,0.838475499092559,0.4557262101174009,main,Logistic,10-fold CV
C_main_Logistic_5foldCV,1102,0.46370235934664245,0.28185116166238455,0.3280840706977761,0.2159709618874773,0.7840290381125227,0.823049001814882,0.462321182224662,main,Logistic,5-fold CV
C_main_Logistic_8020split,220,0.44545454545454544,0.25835866261398177,0.24198096580895312,0.2409090909090909,0.759090909090909,0.8954545454545455,0.44647394911141713,main,Logistic,80/20 split
C_main_Logistic_7030split,331,0.486404833836858,0.3126488731448116,0.3393630533050387,0.20241691842900303,0.797583081570997,0.797583081570997,0.4880650056433158,main,Logistic,70/30 split
C_main_NaiveBayes_10foldCV,1102,0.44283121597096187,0.25505946286350956,0.28931084589136147,0.2323049001814882,0.7676950998185118,0.868421052631579,0.44096830004140514,main,NaiveBayes,10-fold CV
C_main_NaiveBayes_5foldCV,1102,0.4482758620689655,0.26186116711284446,0.28977716366501594,0.2323049001814882,0.7676950998185118,0.8620689655172413,0.4455402835392837,main,NaiveBayes,5-fold CV
C_main_NaiveBayes_8020split,220,0.4590909090909091,0.2773146358968698,0.2796170859828587,0.22727272727272727,0.7727272727272727,0.8681818181818182,0.45943672900391913,main,NaiveBayes,80/20 split
C_main_NaiveBayes_7030split,331,0.4773413897280967,0.3012872918064792,0.3318384952568386,0.20241691842900303,0.797583081570997,0.8126888217522659,0.4781572133201414,main,NaiveBayes,70/30 split
C_quest_ZeroR_10foldCV,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,quest,ZeroR,10-fold CV
C_quest_ZeroR_5foldCV,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,quest,ZeroR,5-fold CV
C_quest_ZeroR_8020split,220,0.2590909090909091,0.0,0.0,0.2590909090909091,0.740909090909091,1.0,0.10288808664259928,quest,ZeroR,80/20 split
C_quest_ZeroR_7030split,331,0.2719033232628399,0.0,0.0,0.2537764350453172,0.7462235649546828,0.9818731117824774,0.10688836104513065,quest,ZeroR,70/30 split
C_quest_J48_10foldCV,1102,0.26497277676951,0.008354256004621696,0.009557443751509576,0.3121597096188748,0.6878402903811253,1.134301270417423,0.25618561986607197,quest,J48,10-fold CV
C_quest_J48_5foldCV,1102,0.28039927404718695,0.026705603521245957,0.059705207730817667,0.28765880217785844,0.7123411978221416,1.0789473684210527,0.27180905107005315,quest,J48,5-fold CV
C_quest_J48_8020split,220,0.3409090909090909,0.12319278764224073,0.1459983326385994,0.31363636363636366,0.6863636363636364,1.059090909090909,0.33674079073773244,quest,J48,80/20 split
C_quest_J48_7030split,331,0.3021148036253776,0.05413362692826307,-0.01809675180766046,0.32326283987915405,0.676737160120846,1.1027190332326284,0.2748705170181779,quest,J48,70/30 split
C_quest_RandomForest_10foldCV,1102,0.3294010889292196,0.09344735307082963,0.09598246547493305,0.27586206896551724,0.7241379310344828,1.0217785843920144,0.3183769290209452,quest,RandomForest,10-fold CV
C_quest_RandomForest_5foldCV,1102,0.3103448275862069,0.06806988808203907,0.05621288205290409,0.29219600725952816,0.7078039927404719,1.061705989110708,0.2970767879401559,quest,RandomForest,5-fold CV
C_quest_RandomForest_8020split,220,0.2909090909090909,0.05051734631771154,-0.03753890533667348,0.35,0.65,1.1590909090909092,0.28071651056611263,quest,RandomForest,80/20 split
C_quest_RandomForest_7030split,331,0.32326283987915405,0.09230693893540964,0.051196034497865806,0.3202416918429003,0.6797583081570997,1.0845921450151057,0.31582719620602084,quest,RandomForest,70/30 split
C_quest_SMO_10foldCV,1102,0.2831215970961887,0.006908226447464916,0.051287299927183394,0.2177858439201452,0.7822141560798548,0.9537205081669692,0.2103754669171371,quest,SMO,10-fold CV
C_quest_SMO_5foldCV,1102,0.2831215970961887,0.0070871835345589496,0.05442134657151709,0.22050816696914702,0.779491833030853,0.9528130671506352,0.21234071804148175,quest,SMO,5-fold CV
C_quest_SMO_8020split,220,0.2681818181818182,0.010614525139664877,0.034054401370743115,0.24545454545454545,0.7545454545454545,0.9818181818181818,0.18940758224786547,quest,SMO,80/20 split
C_quest_SMO_7030split,331,0.26586102719033233,-0.005224020496157111,0.059692763102925483,0.21450151057401812,0.7854984894259819,0.9607250755287009,0.17829511170340756,quest,SMO,70/30 split
C_quest_Logistic_10foldCV,1102,0.2958257713248639,0.03913346367334103,0.11832089608039587,0.25045372050816694,0.7495462794918331,0.9936479128856625,0.27241004618707315,quest,Logistic,10-fold CV
C_quest_Logistic_5foldCV,1102,0.28765880217785844,0.02909341498015694,0.10146054461780929,0.2577132486388385,0.7422867513611615,1.013611615245009,0.2689140358111205,quest,Logistic,5-fold CV
C_quest_Logistic_8020split,220,0.31363636363636366,0.07650394751473366,0.06298399586990178,0.2727272727272727,0.7272727272727273,1.018181818181818,0.2893604473150267,quest,Logistic,80/20 split
C_quest_Logistic_7030split,331,0.2719033232628399,0.013174823098619504,0.029178096494642092,0.2688821752265861,0.7311178247734139,1.0634441087613293,0.23828204049750645,quest,Logistic,70/30 split
C_quest_NaiveBayes_10foldCV,1102,0.3003629764065336,0.04932395236113163,0.06385167523946877,0.28039927404718695,0.7196007259528131,1.0417422867513613,0.2773970059173524,quest,NaiveBayes,10-fold CV
C_quest_NaiveBayes_5foldCV,1102,0.29764065335753176,0.04570383912248632,0.07922779845586359,0.2713248638838475,0.7286751361161524,1.0344827586206897,0.2768965601540283,quest,NaiveBayes,5-fold CV
C_quest_NaiveBayes_8020split,220,0.30454545454545456,0.06990881458966569,0.09039126335637959,0.2772727272727273,0.7227272727272728,1.05,0.29025973665786114,quest,NaiveBayes,80/20 split
C_quest_NaiveBayes_7030split,331,0.31722054380664655,0.08009198342330826,0.054367587221885505,0.27794561933534745,0.7220543806646526,1.0362537764350452,0.2907180296683059,quest,NaiveBayes,70/30 split
