run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,weight,model
D_weight_sgpa0_J48,1102,0.26497277676951,0.008354256004621696,0.009557443751509576,0.3121597096188748,0.6878402903811253,1.134301270417423,0.25618561986607197,0.0,J48
D_weight_sgpa0_RandomForest,1102,0.2985480943738657,0.052112102443811814,0.04222301225743119,0.3030852994555354,0.6969147005444646,1.0834845735027223,0.28923310275821906,0.0,RandomForest
D_weight_sgpa0_Logisticridge1,1102,0.294010889292196,0.03614582443328207,0.11393902000102829,0.2513611615245009,0.7486388384754991,0.9945553539019963,0.2700656307396504,0.0,Logistic (ridge 1)
D_weight_sgpa0_IBkk25nonormalisation,1102,0.30127041742286753,0.038034667664297306,0.04400697857131841,0.2441016333938294,0.7558983666061706,0.9836660617059891,0.24497163035872396,0.0,IBk k=25 (no normalisation)
D_weight_sgpa0_SMOnonormalisation,1102,0.2613430127041742,0.017315305959243465,0.0743323970005727,0.32667876588021777,0.6733212341197822,1.1715063520871143,0.25728459667269377,0.0,SMO (no normalisation)
D_weight_sgpa025_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,0.25,J48
D_weight_sgpa025_RandomForest,1102,0.4401088929219601,0.2479038816351271,0.3311253528797,0.20961887477313976,0.7903811252268602,0.8266787658802178,0.4389725114950014,0.25,RandomForest
D_weight_sgpa025_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,0.25,Logistic (ridge 1)
D_weight_sgpa025_IBkk25nonormalisation,1102,0.3194192377495463,0.06330961668793533,0.08021126010200141,0.23411978221415608,0.7658802177858439,0.9537205081669692,0.26930034023022964,0.25,IBk k=25 (no normalisation)
D_weight_sgpa025_SMOnonormalisation,1102,0.29491833030852993,0.060315140021992564,0.16730809078476594,0.28765880217785844,0.7123411978221416,1.0762250453720508,0.2933889126661569,0.25,SMO (no normalisation)
D_weight_sgpa05_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,0.5,J48
D_weight_sgpa05_RandomForest,1102,0.4355716878402904,0.24123334285328435,0.309944531508217,0.2159709618874773,0.7840290381125227,0.8411978221415608,0.4339107288676366,0.5,RandomForest
D_weight_sgpa05_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,0.5,Logistic (ridge 1)
D_weight_sgpa05_IBkk25nonormalisation,1102,0.32849364791288566,0.07594753111600616,0.12690320358250085,0.21960072595281308,0.7803992740471869,0.925589836660617,0.283009291370441,0.5,IBk k=25 (no normalisation)
D_weight_sgpa05_SMOnonormalisation,1102,0.32304900181488205,0.1004475374498024,0.22111055188440554,0.2822141560798548,0.7177858439201452,1.0326678765880217,0.3216463926477315,0.5,SMO (no normalisation)
D_weight_sgpa1_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,1.0,J48
D_weight_sgpa1_RandomForest,1102,0.4528130671506352,0.26391568947602795,0.3296806667963115,0.20598911070780399,0.794010889292196,0.8130671506352087,0.4503031588068406,1.0,RandomForest
D_weight_sgpa1_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,1.0,Logistic (ridge 1)
D_weight_sgpa1_IBkk25nonormalisation,1102,0.3684210526315789,0.12982628110875127,0.22680767267157753,0.1851179673321234,0.8148820326678766,0.8411978221415608,0.3271848074091042,1.0,IBk k=25 (no normalisation)
D_weight_sgpa1_SMOnonormalisation,1102,0.33484573502722326,0.11260054797409969,0.24675142191264832,0.2577132486388385,0.7422867513611615,0.9936479128856625,0.3338704584926368,1.0,SMO (no normalisation)
D_weight_sgpa2_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,2.0,J48
D_weight_sgpa2_RandomForest,1102,0.4401088929219601,0.24743272170238384,0.3107549535653602,0.20780399274047187,0.7921960072595281,0.8339382940108893,0.4381685681672692,2.0,RandomForest
D_weight_sgpa2_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,2.0,Logistic (ridge 1)
D_weight_sgpa2_IBkk25nonormalisation,1102,0.41560798548094374,0.20383940551140456,0.3037854375533766,0.1851179673321234,0.8148820326678766,0.8103448275862069,0.40034057607661117,2.0,IBk k=25 (no normalisation)
D_weight_sgpa2_SMOnonormalisation,1102,0.33575317604355714,0.11910279230777632,0.2743993624359776,0.2613430127041742,0.7386569872958257,1.0,0.3344630050719797,2.0,SMO (no normalisation)
D_weight_sgpa4_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,4.0,J48
D_weight_sgpa4_RandomForest,1102,0.4301270417422868,0.2337528898022091,0.312909156450063,0.21143375680580762,0.7885662431941923,0.8411978221415608,0.4283863176918749,4.0,RandomForest
D_weight_sgpa4_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,4.0,Logistic (ridge 1)
D_weight_sgpa4_IBkk25nonormalisation,1102,0.4646098003629764,0.28106858918363054,0.35602000872507744,0.2014519056261343,0.7985480943738656,0.7967332123411979,0.4632878333118494,4.0,IBk k=25 (no normalisation)
D_weight_sgpa4_SMOnonormalisation,1102,0.3176043557168784,0.09112205907513582,0.21587620279793684,0.2676950998185118,0.7323049001814882,1.0245009074410163,0.31276787963317376,4.0,SMO (no normalisation)
D_weight_sgpa8_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,8.0,J48
D_weight_sgpa8_RandomForest,1102,0.4537205081669691,0.26560334406397657,0.3337413943384536,0.20417422867513613,0.7958257713248639,0.8112522686025408,0.4522438334093497,8.0,RandomForest
D_weight_sgpa8_Logisticridge1,1102,0.367513611615245,0.1461371882892818,0.27220282267899676,0.21415607985480944,0.7858439201451906,0.8992740471869328,0.36168813626889096,8.0,Logistic (ridge 1)
D_weight_sgpa8_IBkk25nonormalisation,1102,0.4646098003629764,0.28138642970036576,0.3468943048616784,0.20417422867513613,0.7958257713248639,0.8030852994555354,0.46296567646897946,8.0,IBk k=25 (no normalisation)
D_weight_sgpa8_SMOnonormalisation,1102,0.31851179673321234,0.09886541811846694,0.22739999210587436,0.27858439201451907,0.721415607985481,1.0499092558983667,0.3160766289221722,8.0,SMO (no normalisation)
