run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,fix,data,acc_std,repeats,rows
all rows | ZeroR,3306,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,ZeroR,all rows,0.0,3,1102
all rows | OneR (single best feature),3306,0.46098003629764067,0.27947376184112915,0.3223621860825471,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,OneR (single best feature),all rows,0.0,3,1102
all rows | SMO — baseline,3306,0.46098003629764067,0.27947376184112915,0.3223621860825471,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,SMO — baseline,all rows,0.0,3,1102
all rows | RandomForest — baseline,3306,0.44888082274652147,0.2600990689347915,0.30171285514470314,0.22020568663036902,0.779794313369631,0.8393829401088929,0.4465538795051495,RandomForest — baseline,all rows,0.006722961515696563,3,1102
all rows | F1 cost-sensitive RF,3306,0.4249848759830611,0.21004626818958283,0.3353954960033374,0.161826981246219,0.838173018753781,0.7498487598306111,0.39814187963174247,F1 cost-sensitive RF,all rows,0.007922444557597578,3,1102
"all rows | F2 SMO, clean training folds",3306,0.46098003629764067,0.27947376184112915,0.3223621860825471,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,"F2 SMO, clean training folds",all rows,0.0,3,1102
"all rows | RF 500 trees, numeric SGPA",3306,0.4576527525710829,0.2707271594512717,0.32549365320956214,0.21082879612825167,0.7891712038717483,0.8130671506352087,0.45597931809210307,"RF 500 trees, numeric SGPA",all rows,0.004213063604713886,3,1102
trusted | ZeroR,1941,0.31375579598145287,0.0,0.0,0.21638330757341576,0.7836166924265843,0.9026275115919629,0.11941176470588237,ZeroR,trusted,0.0,3,647
trusted | OneR (single best feature),1941,0.6105100463678517,0.47608810912421073,0.6164764400425221,0.09273570324574962,0.9072642967542504,0.5162287480680062,0.6131765078962945,OneR (single best feature),trusted,0.0,3,647
trusted | J48,1941,0.6105100463678517,0.47608810912421073,0.6164764400425221,0.09273570324574962,0.9072642967542504,0.5162287480680062,0.6131765078962945,J48,trusted,0.0,3,647
trusted | NaiveBayes,1941,0.5919629057187017,0.45093526289904184,0.5781194017991513,0.10767645543534261,0.8923235445646573,0.5538382277176713,0.5934815853154192,NaiveBayes,trusted,0.005047892308672169,3,647
trusted | Logistic,1941,0.60741885625966,0.47063901612518766,0.6167544073983577,0.09325090159711488,0.9067490984028851,0.5162287480680062,0.6104045607520063,Logistic,trusted,0.0012619730771680196,3,647
trusted | F3 SMO,1941,0.6105100463678517,0.47608810912421073,0.6164764400425221,0.09273570324574962,0.9072642967542504,0.5162287480680062,0.6131765078962945,F3 SMO,trusted,0.0,3,647
trusted | F3 RandomForest,1941,0.6027820710973725,0.4631502820189132,0.5894987171881785,0.1014940752189593,0.8985059247810407,0.532715095311695,0.6057101553298126,F3 RandomForest,trusted,0.005500813112844589,3,647
trusted | F5 cost-sensitive RF,1941,0.5842349304482226,0.4310572528816041,0.6181533144436748,0.07985574446161772,0.9201442555383823,0.5105615662029882,0.5850524346524015,F5 cost-sensitive RF,trusted,0.0025239461543360847,3,647
trusted + screen | ZeroR,1818,0.33003300330033003,0.0,0.0,0.20132013201320131,0.7986798679867987,0.8712871287128713,0.12406947890818859,ZeroR,trusted + screen,0.0,3,606
trusted + screen | F4 SMO,1818,0.6215621562156216,0.4884093039692551,0.6432905769087607,0.07920792079207921,0.9207920792079208,0.48404840484048406,0.6259995798303056,F4 SMO,trusted + screen,0.0007778952488301208,3,606
trusted + screen | F4 RandomForest,1818,0.605060506050605,0.4634152357180559,0.6081151300778911,0.09405940594059406,0.905940594059406,0.5154015401540154,0.6093243560955874,F4 RandomForest,trusted + screen,0.0067815335566215286,3,606
