question,data,option_code,option,n,C0 %,C1 %,C2 %,C3 %
desired_department_match,all,0,Not at all what I wanted,144,28.5,30.6,22.9,18.1
desired_department_match,all,1,Mostly different,138,33.3,23.9,22.5,20.3
desired_department_match,all,2,Somewhat different,174,21.3,33.3,27.6,17.8
desired_department_match,all,3,Close to what I wanted,243,18.1,28.4,26.3,27.2
desired_department_match,all,4,"Yes, exactly what I wanted",403,16.9,28.8,30.8,23.6
desired_department_match,trusted,0,Not at all what I wanted,62,22.6,40.3,24.2,12.9
desired_department_match,trusted,1,Mostly different,51,43.1,21.6,15.7,19.6
desired_department_match,trusted,2,Somewhat different,81,22.2,43.2,21.0,13.6
desired_department_match,trusted,3,Close to what I wanted,148,17.6,27.0,30.4,25.0
desired_department_match,trusted,4,"Yes, exactly what I wanted",305,14.8,30.2,30.8,24.3
attendance,all,0,Less than 40%,10,30.0,20.0,20.0,30.0
attendance,all,1,40-59%,23,26.1,30.4,26.1,17.4
attendance,all,2,60-74%,276,24.6,29.3,28.6,17.4
attendance,all,3,75-89%,379,21.4,31.7,25.1,21.9
attendance,all,4,90% or more,414,18.8,26.6,28.5,26.1
attendance,trusted,0,Less than 40%,1,0.0,0.0,100.0,0.0
attendance,trusted,1,40-59%,11,27.3,36.4,18.2,18.2
attendance,trusted,2,60-74%,142,23.2,34.5,26.1,16.2
attendance,trusted,3,75-89%,234,20.1,34.2,29.1,16.7
attendance,trusted,4,90% or more,259,16.2,27.0,27.4,29.3
weekly_study_time,all,0,Less than 3 hrs,235,23.8,28.1,28.9,19.1
weekly_study_time,all,1,3-6 hrs,278,25.9,28.8,27.0,18.3
weekly_study_time,all,2,7-10 hrs,250,16.4,30.0,29.6,24.0
weekly_study_time,all,3,11-15 hrs,185,18.4,31.4,23.8,26.5
weekly_study_time,all,4,More than 15 hrs,154,21.4,26.6,25.3,26.6
weekly_study_time,trusted,0,Less than 3 hrs,135,23.0,29.6,30.4,17.0
weekly_study_time,trusted,1,3-6 hrs,171,26.3,31.0,24.6,18.1
weekly_study_time,trusted,2,7-10 hrs,166,14.5,34.3,26.5,24.7
weekly_study_time,trusted,3,11-15 hrs,91,14.3,38.5,28.6,18.7
weekly_study_time,trusted,4,More than 15 hrs,84,14.3,21.4,31.0,33.3
study_style,all,0,Occasionally when necessary,267,20.2,23.6,30.3,25.8
study_style,all,1,Mostly just before exams,293,24.2,32.1,25.3,18.4
study_style,all,2,Regularly but not every day,256,18.4,34.8,27.3,19.5
study_style,all,3,Mostly consistent routine,156,24.4,26.9,25.0,23.7
study_style,all,4,Consistent throughout the semester,130,20.0,24.6,27.7,27.7
study_style,trusted,0,Occasionally when necessary,157,20.4,25.5,26.1,28.0
study_style,trusted,1,Mostly just before exams,204,25.5,35.3,23.5,15.7
study_style,trusted,2,Regularly but not every day,172,13.4,37.8,29.7,19.2
study_style,trusted,3,Mostly consistent routine,71,18.3,26.8,35.2,19.7
study_style,trusted,4,Consistent throughout the semester,43,11.6,16.3,32.6,39.5
topic_clarity,all,0,Almost nothing,180,23.9,31.1,24.4,20.6
topic_clarity,all,1,A little,265,23.4,26.4,26.4,23.8
topic_clarity,all,2,About half,309,19.4,31.7,29.1,19.7
topic_clarity,all,3,Most of it,215,17.7,28.8,31.6,21.9
topic_clarity,all,4,Almost everything,133,24.8,25.6,21.1,28.6
topic_clarity,trusted,0,Almost nothing,99,25.3,31.3,26.3,17.2
topic_clarity,trusted,1,A little,160,22.5,31.9,22.5,23.1
topic_clarity,trusted,2,About half,199,14.1,38.7,28.6,18.6
topic_clarity,trusted,3,Most of it,140,16.4,25.7,34.3,23.6
topic_clarity,trusted,4,Almost everything,49,26.5,16.3,24.5,32.7
sleep_duration,all,0,Less than 5 hrs,180,22.2,35.6,23.3,18.9
sleep_duration,all,1,5-6 hrs,307,20.8,26.4,30.6,22.1
sleep_duration,all,2,6-7 hrs,285,20.0,32.3,26.0,21.8
sleep_duration,all,3,7-8 hrs,215,20.0,28.4,25.6,26.0
sleep_duration,all,4,More than 8 hrs,115,27.8,19.1,30.4,22.6
sleep_duration,trusted,0,Less than 5 hrs,96,19.8,36.5,26.0,17.7
sleep_duration,trusted,1,5-6 hrs,196,17.3,29.1,32.1,21.4
sleep_duration,trusted,2,6-7 hrs,204,16.7,37.3,26.5,19.6
