run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,encoding,model
D_encoding_nominal_ZeroR,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,nominal,ZeroR
D_encoding_numeric_ZeroR,1102,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,numeric,ZeroR
D_encoding_nominal_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,nominal,J48
D_encoding_numeric_J48,1102,0.43284936479128855,0.2366052625745384,0.31259399365829565,0.20871143375680581,0.7912885662431942,0.8357531760435571,0.43149709014104387,numeric,J48
D_encoding_nominal_RandomForest,1102,0.4500907441016334,0.2614316775750444,0.3201820974715883,0.20598911070780399,0.794010889292196,0.823049001814882,0.4481014744177838,nominal,RandomForest
D_encoding_numeric_RandomForest,1102,0.4528130671506352,0.26391568947602795,0.3296806667963115,0.20598911070780399,0.794010889292196,0.8130671506352087,0.4503031588068406,numeric,RandomForest
D_encoding_nominal_SMO,1102,0.46098003629764067,0.27947376184112904,0.32236218608254685,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,nominal,SMO
D_encoding_numeric_SMO,1102,0.37114337568058076,0.15095434614392578,0.24746162190848564,0.21687840290381125,0.7831215970961888,0.9074410163339383,0.3623855216470764,numeric,SMO
D_encoding_nominal_Logistic,1102,0.4573502722323049,0.27391521834460475,0.3137682185207269,0.22050816696914702,0.779491833030853,0.838475499092559,0.4557262101174009,nominal,Logistic
D_encoding_numeric_Logistic,1102,0.3684210526315789,0.1481028151774786,0.27042366415155406,0.21687840290381125,0.7831215970961888,0.9038112522686026,0.36273225341224036,numeric,Logistic
D_encoding_nominal_NaiveBayes,1102,0.44283121597096187,0.25505946286350956,0.28931084589136147,0.2323049001814882,0.7676950998185118,0.868421052631579,0.44096830004140514,nominal,NaiveBayes
D_encoding_numeric_NaiveBayes,1102,0.3811252268602541,0.16442011358026887,0.24847970749315118,0.2159709618874773,0.7840290381125227,0.8992740471869328,0.3722089023303476,numeric,NaiveBayes
