run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,subset,data,model,acc_std,repeats
All students|main|ZeroR,5510,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,All students,main,ZeroR,0.0,5
All students|main|J48,5510,0.4368421052631579,0.24157774618460703,0.29670612084048265,0.21270417422867513,0.7872958257713248,0.8377495462794918,0.43370053641339024,All students,main,J48,0.005309887055654358,5
All students|main|RandomForest,5510,0.45245009074410164,0.26427009754456776,0.30371504329174126,0.21234119782214156,0.7876588021778584,0.82994555353902,0.4504113480873908,All students,main,RandomForest,0.0049569873988194795,5
All students|main|SMO,5510,0.46098003629764067,0.27947376184112904,0.32236218608254696,0.21960072595281308,0.7803992740471869,0.8339382940108893,0.45992038840908245,All students,main,SMO,5.551115123125783e-17,5
All students|main|Logistic,5510,0.45644283121597096,0.2723450600667139,0.3146249677906041,0.21960072595281308,0.7803992740471869,0.8372050816696914,0.4550397905784777,All students,main,Logistic,0.004555317748824361,5
All students|quest|ZeroR,5510,0.29038112522686027,0.0,0.0,0.22323049001814882,0.7767695099818511,0.9328493647912885,0.11251758087201126,All students,quest,ZeroR,0.0,5
All students|quest|J48,5510,0.2834845735027223,0.029266827700783482,0.048938652100812274,0.2894736842105263,0.7105263157894737,1.0754990925589836,0.2729794381651125,All students,quest,J48,0.005247489036225378,5
All students|quest|RandomForest,5510,0.3101633393829401,0.06823604467980315,0.05786410949922138,0.29727767695099816,0.7027223230490018,1.0660617059891107,0.29975589610702025,All students,quest,RandomForest,0.005634909145647917,5
All students|quest|SMO,5510,0.2809437386569873,0.0047313808447004835,0.05522632017451801,0.2190562613430127,0.7809437386569873,0.956442831215971,0.21412666414250875,All students,quest,SMO,0.0076052003048119494,5
All students|quest|Logistic,5510,0.28784029038112524,0.02932378455815443,0.10188950511767092,0.25081669691470054,0.7491833030852995,1.0098003629764065,0.26819135978108083,All students,quest,Logistic,0.0061919136512638764,5
Multi-uni only|main|ZeroR,1150,0.2608695652173913,-0.00591715976331364,-0.001195457262402888,0.2391304347826087,0.7608695652173914,0.9782608695652174,0.15403395002860956,Multi-uni only,main,ZeroR,0.0,5
Multi-uni only|main|J48,1150,0.5173913043478261,0.3566838855990928,0.4261316968090876,0.1608695652173913,0.8391304347826087,0.7304347826086957,0.5169803318979025,Multi-uni only,main,J48,0.0,5
