feature,abs_rho,spearman_rho,sig_spearman,mutual_info,kruskal_H,sig_kruskal,perm_importance,rank_abs_rho,rank_mutual_info,rank_kruskal_H,rank_perm_importance,mean_rank,votes
topic_clarity,0.16136224233807947,-0.16136224233807947,False,0.04109176706640651,6.32460858466989,False,0.016086956521739117,1.0,5.0,3.0,3.0,3.0,0
support_level,0.09133549588431016,0.09133549588431016,False,0.031235988630082694,8.95005793673795,False,0.017173913043478255,5.0,8.0,1.0,2.0,4.0,0
desired_department_match,0.11067766887706254,0.11067766887706254,False,0.053259498647493145,8.541678354865194,False,-0.0010869565217391363,3.0,3.0,2.0,10.0,4.5,0
stress_frequency,0.1189355882017281,0.1189355882017281,False,0.03910396087283491,4.298231517539576,False,0.00021739130434781788,2.0,6.0,4.0,9.0,5.25,0
admission_satisfaction,0.09587691566425696,-0.09587691566425696,False,0.047144558431407246,3.1537034124187064,False,0.0028260869565217284,4.0,4.0,6.0,7.0,5.25,0
academic_progress,0.018894413768546663,-0.018894413768546663,False,0.1222409364931614,0.6753400487699456,False,0.02456521739130434,11.0,1.0,12.0,1.0,6.25,0
career_expectation,0.08739877488145441,0.08739877488145441,False,0.07296792548575151,2.629161314122437,False,-0.00478260869565218,6.0,2.0,9.0,13.0,7.5,0
study_style,0.03499231698538842,-0.03499231698538842,False,0.03822799376842441,0.4216836586667392,False,0.0030434782608695587,7.0,7.0,13.0,6.0,8.25,0
sleep_duration,0.0047236403437584725,0.0047236403437584725,False,0.02273839243002151,3.930584683496802,False,0.005869565217391294,14.0,10.0,5.0,5.0,8.5,0
study_environment,0.0221840155404747,-0.0221840155404747,False,0.025056198227688897,0.2493994748673397,False,0.010652173913043472,10.0,9.0,15.0,4.0,9.5,0
routine_manageability,0.0300154385201263,-0.0300154385201263,False,0.01564867477324397,2.6360883630367837,False,-0.003478260869565225,9.0,13.0,8.0,11.0,10.25,0
weekly_study_time,0.014655036324976218,0.014655036324976218,False,0.020966158214643815,1.0355872117080585,False,0.0015217391304347752,12.0,11.0,11.0,8.0,10.5,0
distraction_frequency,0.03210642950450962,0.03210642950450962,False,0.015182079141585415,0.3387433229475209,False,-0.004347826086956527,8.0,14.0,14.0,12.0,12.0,0
weekly_responsibilities,0.001562821608660731,-0.001562821608660731,False,0.016959682300724765,2.645114946290876,False,-0.011739130434782617,15.0,12.0,7.0,14.0,12.0,0
attendance,0.009018164722148303,0.009018164722148303,False,0.015090127149464384,1.2992224310600489,False,-0.013478260869565228,13.0,15.0,10.0,15.0,13.25,0
