feature,abs_rho,spearman_rho,q_spearman,sig_spearman,mutual_info,kruskal_H,sig_kruskal,perm_importance,rank_abs_rho,rank_mutual_info,rank_kruskal_H,rank_perm_importance,mean_rank,votes
desired_department_match,0.11920791108797996,0.11920791108797996,0.001043588716202332,True,0.01332622922634459,19.712214479617455,True,0.001354748413571942,1.0,3.0,1.0,7.0,3.0,2
academic_progress,0.05746815885457802,-0.05746815885457802,0.15969422715413623,False,0.028025397231706835,6.656398904694616,False,0.006077751960104902,5.0,1.0,5.0,2.0,3.25,0
weekly_responsibilities,0.0862898055769903,-0.0862898055769903,0.020238653936662507,True,0.007003685493267436,10.235458714848265,False,0.0018485453779571407,3.0,12.0,2.0,5.0,5.5,1
support_level,0.054494400846845883,0.054494400846845883,0.15969422715413623,False,0.009511009694883846,4.162001482316938,False,0.0026491650021061757,6.0,8.0,7.0,3.0,6.0,0
attendance,0.09030239270994624,0.09030239270994624,0.019682887977341995,True,0.005910900257611246,9.513141046059198,False,-0.002163792752028048,2.0,15.0,3.0,10.0,7.5,1
career_expectation,0.05359853600732651,0.05359853600732651,0.15969422715413623,False,0.011181164139138292,5.164058293558919,False,-0.00344516462163521,7.0,7.0,6.0,11.0,7.75,0
routine_manageability,0.03975488482857152,0.03975488482857152,0.32348723259378487,False,0.013306732480123096,1.956667060691048,False,-0.0013751307868954954,8.0,4.0,11.0,9.0,8.0,0
weekly_study_time,0.06947976281201397,0.06947976281201397,0.07772382192669539,False,0.007114890580538519,8.369328956995815,False,-0.008922859511094809,4.0,11.0,4.0,14.0,8.25,0
admission_satisfaction,0.015775371953871693,0.015775371953871693,0.6921885896122996,False,0.013426821367885963,2.224993988361439,False,0.0012743059801883336,13.0,2.0,10.0,8.0,8.25,0
stress_frequency,0.0051687727010226985,-0.0051687727010226985,0.9252312571813092,False,0.011704748744052793,0.2089669489964642,False,0.002277662277662274,14.0,5.0,15.0,4.0,9.5,0
distraction_frequency,0.026497865069970986,-0.026497865069970986,0.5157522343658617,False,0.006584098960618845,3.571323823102565,False,0.0016580381286263643,11.0,13.0,9.0,6.0,9.75,0
study_style,0.00201975457966065,-0.00201975457966065,0.946458298332134,False,0.00864311273732582,0.824238846054164,False,0.00683733507262919,15.0,9.0,14.0,1.0,9.75,0
sleep_duration,0.027470133654241436,0.027470133654241436,0.5157522343658617,False,0.0075812724388373415,3.893144505569087,False,-0.005299145299145301,10.0,10.0,8.0,12.0,10.0,0
study_environment,0.01704101220768907,0.01704101220768907,0.6921885896122996,False,0.011357811455555117,1.5584626994066313,False,-0.009210930387400977,12.0,6.0,13.0,15.0,11.5,0
topic_clarity,0.039040878851567,0.039040878851567,0.32348723259378487,False,0.006403138343832007,1.6877758950540336,False,-0.005894582365170604,9.0,14.0,12.0,13.0,12.0,0
