Timestamp,"What is the name your university?
(তোমার বিশ্ববিদ্যালয়ের নাম কি?)","How satisfied are you with getting admitted into your university?
(তোমার বিশ্ববিদ্যালয়ে ভর্তি হতে পারে তুমি কতটুকু সন্তুষ্ট?)","What is your department?
(তোমার বিভাগ/ডিপার্টমেন্ট কোনটি?)","If your department is not listed above, then write it here:
(তোমার  বিভাগটি যদি উপরে তালিকাভুক্ত না থাকে, তবে সেটি এখানে লিখুন:)","Did you get into your desired subject or department?
(তুমি কি তোমার পছন্দের সাব্জেক্ট/ডিপার্টমেন্টে ভর্তি হতে পেরেছো?)","Which semester are you currently in?
(তুমি বর্তমানে কোন সেমিস্টারে আছো?)","What was your SGPA in the most recently completed semester?
(তোমার বিগত/সদ্য সমাপ্ত সেমিস্টারে SGPA কত ছিল?)","Before that semester, what was your CGPA?
(বিগত সেমিস্টারের আগে তোমার সিজিপিএ (CGPA) কত ছিল?)","How satisfied were you with your latest semester result?
(বিগত সেমিস্টারে ফলাফলে তুমি কতটুকু সন্তুষ্ট?)","How often were you actually present in class?
(তোমার ক্লাসে উপস্থিতি কেমন ছিল?)","Outside class, how much did you usually study per week?
(ক্লাস/লেকচার এর বাইরে , প্রতি সপ্তাহে কতটা পড়ালেখা করতে তুমি?)","Which study style sounds most like you?
(এর মধ্যে কোন ধরনের পড়ার স্টাইল তোমার সাথে মানায়?)","When a class ended, how much of the topic was usually clear to you?
(একটি ক্লাস/লেকচার শেষ হবার পর ওই ক্লাসের পাঠের বিষয় সম্পর্কে তোমার ধারণা কতটুকু পরিষ্কার হতো?)","On a normal night, how much sleep did you get?
(একটি স্বাভাবিক রাতে তুমি কতক্ষণ ঘুমাও?)","How often did stress make it difficult for you to study
(মানসিক চাপের কারণে কত ঘন ঘন  তোমার   পড়াশোনা করতে অসুবিধা হয়েছে?)","How much time did tuition, a job, club activities or other responsibilities take each week?
(টিউশন, চাকরি, ক্লাবের কার্যক্রম বা অন্যান্য দায়িত্বে প্রতি সপ্তাহে তোমার কতটা সময় ব্যয় হতো?)","How often did your phone, gaming, social media, or entertainment steal your planned study time?
( তোমার ফোন, গেমিং, সোশ্যাল মিডিয়া বা বিনোদন কত ঘন ঘন তোমার পরিকল্পিত পড়াশোনার সময় নষ্ট করেছে?)","How study-friendly was the place where you lived? 
(তোমার বাসস্থান কতটা শিক্ষাবান্ধব/শিক্ষার জন্যে উপযোগী ছিল?)","When academic life became difficult, how much support did you receive from family or close friends?  
( শিক্ষাজীবনের কঠিন সময়ে পরিবার থেকে তুমি কতটুকু সাহায্য পেতে?)","Overall, how healthy and manageable was your semester routine?
( সামগ্রিকভাবে, তোমার সেমিস্টারের দৈনন্দিন রুটিন কতটা স্বাস্থ্যকর ও সামলানো সহজ ছিল?)","Do you think this course of study will take you to your dream career?
(তোমার কি মনে ,তোমার এই পাঠ্যক্রম তোমার স্বপ্নের ভবিষ্যৎ/চাকরিজীবনে যেতে সাহায্য করবে?)"
8/22/2026 17:53,CUET,Satisfied,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,6-10 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Mostly
8/24/2026 0:07,CUET,Neutral,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.2+,3.2+,Neutral,75-89%,11-15 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,11-15 hrs,Sometimes,Neither good nor bad,Some support,Mostly manageable,Mostly
8/24/2026 0:17,CUET,Neutral,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.75+,3.5+,Satisfied,75-89%,More than 15 hrs,Mostly consistent routine,Most of it,5-6 hrs,Rarely,6-10 hrs,Rarely,Mostly suitable,Good support,Mostly manageable,Somewhat
8/24/2026 0:25,CUET,Satisfied,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.5+,3.2+,Satisfied,60-74%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Somewhat distracting,Good support,Average,Somewhat
8/24/2026 0:38,CUET,Satisfied,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.5+,3.5+,Neutral,75-89%,11-15 hrs,Regularly but not every day,About half,5-6 hrs,Rarely,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,Somewhat
8/24/2026 0:49,CUET,Satisfied,,,"Yes, exactly what I wanted",7,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,About half,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Mostly manageable,Somewhat
8/24/2026 1:01,CUET,Neutral,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",7,3.2+,3.5+,Dissatisfied,75-89%,11-15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,11-15 hrs,Sometimes,Neither good nor bad,Good support,Average,Mostly
8/24/2026 1:10,CUET,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.5+,3.2+,Satisfied,75-89%,More than 15 hrs,Regularly but not every day,Most of it,5-6 hrs,Rarely,None,Sometimes,Mostly suitable,Good support,Mostly manageable,Somewhat
8/24/2026 1:18,CUET,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.5+,3.5+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,Most of it,6-7 hrs,Rarely,None,Sometimes,Mostly suitable,Good support,Average,Somewhat
8/24/2026 16:59,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.5+,Very dissatisfied,90% or more,3-6 hrs,Occasionally when necessary,Most of it,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Average,Mostly
