row_index,split_for,cgpa_class,sgpa_class
176,cgpa_experiments_B_C,C1,C1
898,cgpa_experiments_B_C,C2,C0
473,cgpa_experiments_B_C,C0,C0
362,cgpa_experiments_B_C,C2,C2
166,cgpa_experiments_B_C,C0,C1
76,cgpa_experiments_B_C,C1,C1
445,cgpa_experiments_B_C,C2,C1
189,cgpa_experiments_B_C,C1,C2
759,cgpa_experiments_B_C,C1,C1
483,cgpa_experiments_B_C,C2,C0
1055,cgpa_experiments_B_C,C1,C1
539,cgpa_experiments_B_C,C2,C1
647,cgpa_experiments_B_C,C2,C1
731,cgpa_experiments_B_C,C1,C2
431,cgpa_experiments_B_C,C3,C1
402,cgpa_experiments_B_C,C2,C0
171,cgpa_experiments_B_C,C0,C0
352,cgpa_experiments_B_C,C0,C0
1048,cgpa_experiments_B_C,C1,C1
435,cgpa_experiments_B_C,C1,C0
367,cgpa_experiments_B_C,C0,C1
861,cgpa_experiments_B_C,C1,C1
229,cgpa_experiments_B_C,C0,C0
717,cgpa_experiments_B_C,C0,C0
817,cgpa_experiments_B_C,C3,C3
309,cgpa_experiments_B_C,C2,C2
581,cgpa_experiments_B_C,C0,C2
675,cgpa_experiments_B_C,C3,C2
585,cgpa_experiments_B_C,C1,C2
172,cgpa_experiments_B_C,C2,C1
970,cgpa_experiments_B_C,C1,C1
589,cgpa_experiments_B_C,C1,C0
569,cgpa_experiments_B_C,C0,C1
107,cgpa_experiments_B_C,C3,C3
392,cgpa_experiments_B_C,C3,C0
93,cgpa_experiments_B_C,C1,C1
283,cgpa_experiments_B_C,C2,C2
514,cgpa_experiments_B_C,C3,C2
133,cgpa_experiments_B_C,C0,C0
311,cgpa_experiments_B_C,C3,C3
605,cgpa_experiments_B_C,C0,C1
617,cgpa_experiments_B_C,C2,C0
692,cgpa_experiments_B_C,C3,C0
178,cgpa_experiments_B_C,C2,C2
568,cgpa_experiments_B_C,C0,C2
766,cgpa_experiments_B_C,C2,C3
115,cgpa_experiments_B_C,C0,C0
1023,cgpa_experiments_B_C,C1,C2
447,cgpa_experiments_B_C,C2,C3
576,cgpa_experiments_B_C,C2,C3
808,cgpa_experiments_B_C,C1,C1
279,cgpa_experiments_B_C,C1,C1
372,cgpa_experiments_B_C,C3,C2
523,cgpa_experiments_B_C,C2,C1
583,cgpa_experiments_B_C,C1,C2
318,cgpa_experiments_B_C,C3,C3
779,cgpa_experiments_B_C,C3,C3
1057,cgpa_experiments_B_C,C2,C2
433,cgpa_experiments_B_C,C1,C3
653,cgpa_experiments_B_C,C0,C0
623,cgpa_experiments_B_C,C2,C0
922,cgpa_experiments_B_C,C0,C0
195,cgpa_experiments_B_C,C3,C3
92,cgpa_experiments_B_C,C0,C0
845,cgpa_experiments_B_C,C1,C1
1021,cgpa_experiments_B_C,C0,C0
490,cgpa_experiments_B_C,C1,C3
87,cgpa_experiments_B_C,C2,C2
836,cgpa_experiments_B_C,C3,C3
446,cgpa_experiments_B_C,C3,C3
199,cgpa_experiments_B_C,C1,C1
1039,cgpa_experiments_B_C,C2,C3
767,cgpa_experiments_B_C,C0,C3
55,cgpa_experiments_B_C,C1,C0
417,cgpa_experiments_B_C,C3,C2
734,cgpa_experiments_B_C,C1,C1
374,cgpa_experiments_B_C,C2,C1
512,cgpa_experiments_B_C,C3,C0
271,cgpa_experiments_B_C,C1,C1
228,cgpa_experiments_B_C,C1,C1
729,cgpa_experiments_B_C,C1,C3
180,cgpa_experiments_B_C,C1,C1
192,cgpa_experiments_B_C,C1,C0
1034,cgpa_experiments_B_C,C1,C0
478,cgpa_experiments_B_C,C2,C0
191,cgpa_experiments_B_C,C3,C0
924,cgpa_experiments_B_C,C2,C3
726,cgpa_experiments_B_C,C3,C1
940,cgpa_experiments_B_C,C1,C1
832,cgpa_experiments_B_C,C1,C0
461,cgpa_experiments_B_C,C2,C1
124,cgpa_experiments_B_C,C2,C0
1058,cgpa_experiments_B_C,C0,C0
793,cgpa_experiments_B_C,C0,C1
602,cgpa_experiments_B_C,C2,C2
406,cgpa_experiments_B_C,C2,C2
56,cgpa_experiments_B_C,C2,C1
146,cgpa_experiments_B_C,C2,C1
163,cgpa_experiments_B_C,C3,C3
361,cgpa_experiments_B_C,C1,C1
574,cgpa_experiments_B_C,C1,C0
401,cgpa_experiments_B_C,C3,C1
156,cgpa_experiments_B_C,C0,C2
926,cgpa_experiments_B_C,C2,C2
462,cgpa_experiments_B_C,C1,C3
347,cgpa_experiments_B_C,C0,C1
852,cgpa_experiments_B_C,C3,C3
508,cgpa_experiments_B_C,C3,C1
708,cgpa_experiments_B_C,C3,C3
412,cgpa_experiments_B_C,C0,C2
667,cgpa_experiments_B_C,C1,C1
135,cgpa_experiments_B_C,C1,C2
741,cgpa_experiments_B_C,C3,C3
594,cgpa_experiments_B_C,C3,C1
645,cgpa_experiments_B_C,C1,C1
1035,cgpa_experiments_B_C,C1,C1
1001,cgpa_experiments_B_C,C2,C1
777,cgpa_experiments_B_C,C1,C0
440,cgpa_experiments_B_C,C0,C3
609,cgpa_experiments_B_C,C0,C0
138,cgpa_experiments_B_C,C1,C0
502,cgpa_experiments_B_C,C1,C3
853,cgpa_experiments_B_C,C0,C0
655,cgpa_experiments_B_C,C2,C0
1067,cgpa_experiments_B_C,C1,C2
660,cgpa_experiments_B_C,C1,C3
597,cgpa_experiments_B_C,C1,C2
105,cgpa_experiments_B_C,C3,C0
822,cgpa_experiments_B_C,C1,C0
258,cgpa_experiments_B_C,C3,C3
96,cgpa_experiments_B_C,C2,C2
983,cgpa_experiments_B_C,C3,C2
85,cgpa_experiments_B_C,C2,C2
778,cgpa_experiments_B_C,C3,C3
860,cgpa_experiments_B_C,C2,C2
153,cgpa_experiments_B_C,C0,C3
833,cgpa_experiments_B_C,C2,C1
941,cgpa_experiments_B_C,C3,C3
980,cgpa_experiments_B_C,C1,C2
423,cgpa_experiments_B_C,C2,C0
301,cgpa_experiments_B_C,C1,C2
531,cgpa_experiments_B_C,C3,C0
254,cgpa_experiments_B_C,C2,C2
169,cgpa_experiments_B_C,C0,C0
723,cgpa_experiments_B_C,C2,C0
237,cgpa_experiments_B_C,C3,C3
109,cgpa_experiments_B_C,C3,C1
1091,cgpa_experiments_B_C,C1,C3
251,cgpa_experiments_B_C,C3,C3
1084,cgpa_experiments_B_C,C3,C3
30,cgpa_experiments_B_C,C1,C0
103,cgpa_experiments_B_C,C2,C2
601,cgpa_experiments_B_C,C0,C2
274,cgpa_experiments_B_C,C2,C2
174,cgpa_experiments_B_C,C1,C1
636,cgpa_experiments_B_C,C3,C0
781,cgpa_experiments_B_C,C0,C0
407,cgpa_experiments_B_C,C0,C2
493,cgpa_experiments_B_C,C2,C1
49,cgpa_experiments_B_C,C1,C2
289,cgpa_experiments_B_C,C1,C1
570,cgpa_experiments_B_C,C1,C0
1019,cgpa_experiments_B_C,C3,C3
155,cgpa_experiments_B_C,C2,C1
923,cgpa_experiments_B_C,C1,C2
66,cgpa_experiments_B_C,C3,C2
120,cgpa_experiments_B_C,C2,C2
215,cgpa_experiments_B_C,C3,C3
545,cgpa_experiments_B_C,C0,C3
1040,cgpa_experiments_B_C,C2,C3
969,cgpa_experiments_B_C,C1,C1
391,cgpa_experiments_B_C,C2,C2
972,cgpa_experiments_B_C,C2,C2
20,cgpa_experiments_B_C,C0,C1
945,cgpa_experiments_B_C,C3,C3
213,cgpa_experiments_B_C,C3,C1
914,cgpa_experiments_B_C,C3,C3
78,cgpa_experiments_B_C,C3,C3
217,cgpa_experiments_B_C,C0,C0
740,cgpa_experiments_B_C,C1,C3
52,cgpa_experiments_B_C,C1,C1
1009,cgpa_experiments_B_C,C3,C3
978,cgpa_experiments_B_C,C0,C0
1046,cgpa_experiments_B_C,C2,C1
916,cgpa_experiments_B_C,C0,C0
429,cgpa_experiments_B_C,C0,C1
746,cgpa_experiments_B_C,C2,C3
489,cgpa_experiments_B_C,C0,C3
350,cgpa_experiments_B_C,C1,C2
98,cgpa_experiments_B_C,C1,C0
175,cgpa_experiments_B_C,C2,C2
760,cgpa_experiments_B_C,C2,C0
888,cgpa_experiments_B_C,C0,C2
684,cgpa_experiments_B_C,C0,C0
999,cgpa_experiments_B_C,C1,C2
755,cgpa_experiments_B_C,C2,C0
451,cgpa_experiments_B_C,C2,C1
870,cgpa_experiments_B_C,C1,C1
733,cgpa_experiments_B_C,C1,C1
67,cgpa_experiments_B_C,C2,C2
200,cgpa_experiments_B_C,C3,C0
651,cgpa_experiments_B_C,C0,C2
847,cgpa_experiments_B_C,C1,C1
265,cgpa_experiments_B_C,C1,C2
586,cgpa_experiments_B_C,C0,C0
590,cgpa_experiments_B_C,C0,C1
620,cgpa_experiments_B_C,C3,C0
0,cgpa_experiments_B_C,C2,C2
331,cgpa_experiments_B_C,C2,C3
691,cgpa_experiments_B_C,C3,C1
142,cgpa_experiments_B_C,C3,C3
646,cgpa_experiments_B_C,C0,C0
965,cgpa_experiments_B_C,C2,C1
913,cgpa_experiments_B_C,C2,C2
232,cgpa_experiments_B_C,C2,C2
510,cgpa_experiments_B_C,C2,C1
770,cgpa_experiments_B_C,C2,C0
81,cgpa_experiments_B_C,C3,C3
858,cgpa_experiments_B_C,C1,C1
210,cgpa_experiments_B_C,C0,C1
674,cgpa_experiments_B_C,C0,C0
756,cgpa_experiments_B_C,C1,C0
354,cgpa_experiments_B_C,C1,C1
743,cgpa_experiments_B_C,C3,C2
345,cgpa_experiments_B_C,C3,C1
1072,cgpa_experiments_B_C,C3,C2
657,cgpa_experiments_B_C,C1,C3
320,cgpa_experiments_B_C,C3,C3
292,cgpa_experiments_B_C,C1,C0
1074,cgpa_experiments_B_C,C0,C1
819,cgpa_experiments_B_C,C0,C1
826,cgpa_experiments_B_C,C2,C1
302,cgpa_experiments_B_C,C3,C2
37,cgpa_experiments_B_C,C1,C2
