Slide result,Target,WEKA model,Evaluation,Dataset N,Exact source,Options
"32, 42–45 (main); backup",sgpa,J48,"10-fold CV, seed 1",1102,sgpa_J48_cv.txt,-C 0.25 -M 2
"32, 42–45 (main); backup",sgpa,RandomForest,"10-fold CV, seed 1",1102,sgpa_RandomForest_cv.txt,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
"32, 42–45 (main); backup",sgpa,SMO,"10-fold CV, seed 1",1102,sgpa_SMO_cv.txt,"-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007"" -calibrator ""weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4"""
"32, 42–45 (main); backup",sgpa,Logistic,"10-fold CV, seed 1",1102,sgpa_Logistic_cv.txt,-R 1.0E-8 -M -1 -num-decimal-places 4
"32, 42–45 (main); backup",sgpa,NaiveBayes,"10-fold CV, seed 1",1102,sgpa_NaiveBayes_cv.txt,
"32, 42–45 (main); backup",sgpa,ZeroR,"10-fold CV, seed 1",1102,sgpa_ZeroR_cv.txt,
34–41,sgpa,J48,Fixed supplied train/test split,1102,sgpa_J48_holdout.txt,-C 0.25 -M 40; train 881 / test 221
"36,40",sgpa,ZeroR,Same supplied train/test split,1102,"sgpa_J48_holdout.txt, ZeroR TEST BASELINE",Fit majority class on train only
"32, 42–45 (main); backup",questionnaire,J48,"10-fold CV, seed 1",1102,questionnaire_J48_cv.txt,-C 0.25 -M 2
"32, 42–45 (main); backup",questionnaire,RandomForest,"10-fold CV, seed 1",1102,questionnaire_RandomForest_cv.txt,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
"32, 42–45 (main); backup",questionnaire,SMO,"10-fold CV, seed 1",1102,questionnaire_SMO_cv.txt,"-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007"" -calibrator ""weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4"""
"32, 42–45 (main); backup",questionnaire,Logistic,"10-fold CV, seed 1",1102,questionnaire_Logistic_cv.txt,-R 1.0E-8 -M -1 -num-decimal-places 4
"32, 42–45 (main); backup",questionnaire,NaiveBayes,"10-fold CV, seed 1",1102,questionnaire_NaiveBayes_cv.txt,
"32, 42–45 (main); backup",questionnaire,ZeroR,"10-fold CV, seed 1",1102,questionnaire_ZeroR_cv.txt,
34–41,questionnaire,J48,Fixed supplied train/test split,1102,questionnaire_J48_holdout.txt,-C 0.25 -M 40; train 881 / test 221
"36,40",questionnaire,ZeroR,Same supplied train/test split,1102,"questionnaire_J48_holdout.txt, ZeroR TEST BASELINE",Fit majority class on train only
"32, 42–45 (main); backup",main,J48,"10-fold CV, seed 1",1102,main_J48_cv.txt,-C 0.25 -M 2
"32, 42–45 (main); backup",main,RandomForest,"10-fold CV, seed 1",1102,main_RandomForest_cv.txt,-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
"32, 42–45 (main); backup",main,SMO,"10-fold CV, seed 1",1102,main_SMO_cv.txt,"-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007"" -calibrator ""weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4"""
"32, 42–45 (main); backup",main,Logistic,"10-fold CV, seed 1",1102,main_Logistic_cv.txt,-R 1.0E-8 -M -1 -num-decimal-places 4
"32, 42–45 (main); backup",main,NaiveBayes,"10-fold CV, seed 1",1102,main_NaiveBayes_cv.txt,
"32, 42–45 (main); backup",main,ZeroR,"10-fold CV, seed 1",1102,main_ZeroR_cv.txt,
34–41,main,J48,Fixed supplied train/test split,1102,main_J48_holdout.txt,-C 0.25 -M 40; train 881 / test 221
"36,40",main,ZeroR,Same supplied train/test split,1102,"main_J48_holdout.txt, ZeroR TEST BASELINE",Fit majority class on train only
