row_index,split
176,train
898,train
473,train
362,train
166,train
76,train
445,train
189,train
759,train
483,train
1055,train
539,train
647,train
731,train
431,train
402,train
171,train
352,train
1048,train
435,train
367,train
861,train
229,train
717,train
817,train
309,train
581,train
675,train
585,train
172,train
970,train
589,train
569,train
107,train
392,train
93,train
283,train
514,train
133,train
311,train
605,train
617,train
692,train
178,train
568,train
766,train
115,train
1023,train
447,train
576,train
808,train
279,train
372,train
523,train
583,train
318,train
779,train
1057,train
433,train
653,train
623,train
922,train
195,train
92,train
845,train
1021,train
490,train
87,train
836,train
446,train
199,train
1039,train
767,train
55,train
417,train
734,train
374,train
512,train
271,train
228,train
729,train
180,train
192,train
1034,train
478,train
191,train
924,train
726,train
940,train
832,train
461,train
124,train
1058,train
793,train
602,train
406,train
56,train
146,train
163,train
361,train
574,train
401,train
156,train
926,train
462,train
347,train
852,train
508,train
708,train
412,train
667,train
135,train
741,train
594,train
645,train
1035,train
1001,train
777,train
440,train
609,train
138,train
502,train
853,train
655,train
1067,train
660,train
597,train
105,train
822,train
258,train
96,train
983,train
85,train
778,train
860,train
153,train
833,train
941,train
980,train
423,train
301,train
531,train
254,train
169,train
723,train
237,train
109,train
1091,train
251,train
1084,train
30,train
103,train
601,train
274,train
174,train
636,train
781,train
407,train
493,train
49,train
289,train
570,train
1019,train
155,train
923,train
66,train
120,train
215,train
545,train
1040,train
969,train
391,train
972,train
20,train
945,train
213,train
914,train
78,train
217,train
740,train
52,train
1009,train
978,train
1046,train
916,train
429,train
746,train
489,train
350,train
98,train
175,train
760,train
888,train
684,train
999,train
755,train
451,train
870,train
733,train
67,train
200,train
651,train
847,train
265,train
586,train
590,train
620,train
0,train
331,train
691,train
142,train
646,train
965,train
913,train
232,train
510,train
770,train
81,train
858,train
210,train
674,train
756,train
354,train
743,train
345,train
1072,train
657,train
320,train
292,train
1074,train
819,train
826,train
302,train
37,train
762,train
966,train
818,train
772,train
119,train
223,train
614,train
22,train
443,train
482,train
1087,train
403,train
879,train
467,train
1083,train
875,train
397,train
165,train
266,train
368,train
705,train
422,train
732,train
771,train
946,train
1037,train
1002,train
282,train
448,train
297,train
856,train
385,train
312,train
598,train
306,train
349,train
929,train
1,train
831,train
990,train
1070,train
892,train
276,train
1010,train
1061,train
593,train
1077,train
1100,train
989,train
1028,train
567,train
206,train
927,train
480,train
287,train
334,train
727,train
689,train
694,train
670,train
185,train
1093,train
954,train
333,train
807,train
149,train
408,train
358,train
780,train
218,train
339,train
528,train
162,train
698,train
829,train
38,train
716,train
797,train
1056,train
456,train
250,train
